GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS1046745554	2021-07-10 19:31:54.648668	1945	species	Dusky Pigeon	Patagioenas goodsoni			2					Ecuador	EC	Esmeraldas	EC-E							Reserva FCAT	L9726728	H	0.3729900	-79.6652000	2021-01-06	09:28:00	obsr971685	S78857717	Traveling	P22	EBIRD	150	1.720		6	1	G6124220	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1046743914	2021-08-10 10:43:06.349814	1945	species	Dusky Pigeon	Patagioenas goodsoni			1					Ecuador	EC	Esmeraldas	EC-E							Reserva FCAT	L9726728	H	0.3729900	-79.6652000	2021-01-07	11:09:00	obsr1205238	S78857577	Traveling	P22	EBIRD	85	5.110		6	1	G6124229	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1046744610	2021-07-10 19:31:54.648668	1945	species	Dusky Pigeon	Patagioenas goodsoni			1					Ecuador	EC	Esmeraldas	EC-E							Reserva FCAT	L9726728	H	0.3729900	-79.6652000	2021-01-05	15:34:00	obsr1205238	S78857604	Traveling	P22	EBIRD	132	1.600		6	1	G6124227	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1046729065	2021-07-10 19:31:54.648668	1945	species	Dusky Pigeon	Patagioenas goodsoni			2					Ecuador	EC	Esmeraldas	EC-E							Reserva FCAT	L9726728	H	0.3729900	-79.6652000	2021-01-06	09:28:00	obsr334815	S78857009	Traveling	P22	EBIRD	150	1.720		6	1	G6124220	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1056730856	2021-08-10 10:43:06.479851	1945	species	Dusky Pigeon	Patagioenas goodsoni			2					Ecuador	EC	Esmeraldas	EC-E							Unnamed Road, Esmeraldas, EC (0.472, -79.233)	L13349811	P	0.4723641	-79.2328140	2021-01-18	13:20:00	obsr808155	S79667272	Traveling	P22	EBIRD	600	15.000		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1050638141	2021-04-08 23:14:26.914644	1945	species	Dusky Pigeon	Patagioenas goodsoni			1					Ecuador	EC	Esmeraldas	EC-E							Awa (La Union) Road	L2166918	H	0.9710453	-78.5555114	2021-01-10	09:19:00	obsr331950	S79168258	Traveling	P22	EBIRD	217	6.950		4	1	G6138320	0	1	0		Final del bosque de carretera, inicio de pastizales.		
URN:CornellLabOfOrnithology:EBIRD:OBS1048726687	2021-04-08 23:13:26.38578	1945	species	Dusky Pigeon	Patagioenas goodsoni			1					Ecuador	EC	Esmeraldas	EC-E							Awa (La Union) Road	L2166918	H	0.9710453	-78.5555114	2021-01-10	06:13:00	obsr334815	S79021334	Traveling	P22	EBIRD	185	6.160		4	1	G6138321	0	1	0		Inicio de la vía al territorio Awá. Más abajo de Alto Tambo.		
URN:CornellLabOfOrnithology:EBIRD:OBS1048768581	2021-04-08 23:12:40.009675	1945	species	Dusky Pigeon	Patagioenas goodsoni			1					Ecuador	EC	Esmeraldas	EC-E							Awa (La Union) Road	L2166918	H	0.9710453	-78.5555114	2021-01-10	06:13:00	obsr628713	S79025363	Traveling	P22	EBIRD	185	6.160		4	1	G6138321	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1047325020	2021-07-10 19:31:54.648668	1945	species	Dusky Pigeon	Patagioenas goodsoni			1					Ecuador	EC	Esmeraldas	EC-E							Reserva FCAT	L9726728	H	0.3729900	-79.6652000	2021-01-06	06:01:00	obsr331950	S78905267	Traveling	P22	EBIRD	113	2.600		6	1	G6124196	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1069438446	2021-08-10 10:43:09.525551	1945	species	Dusky Pigeon	Patagioenas goodsoni			2					Ecuador	EC	Esmeraldas	EC-E							EC (1.134, -79.122)	L13545756	P	1.1338154	-79.1216330	2021-02-04	05:03:00	obsr808155	S80736525	Traveling	P22	EBIRD	480	37.730		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1069438755	2021-02-09 22:21:19.171452	1945	species	Dusky Pigeon	Patagioenas goodsoni			2					Ecuador	EC	Esmeraldas	EC-E							Camaronera Puro Congo	L2761556	H	1.2020000	-79.0523333	2021-02-05	06:43:00	obsr808155	S80736810	Incidental	P20	EBIRD				1	0		0	1	0				
